sep=,
DeviceTag:,bei
FirmwareVersion:,1.6.0
AppVersion:,2021.0
StartTime: ,2021-08-30_17:05:05_000 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
49,2974431379,179.88330078125000,-0.12889645993710,-136.13764953613281,0.05267353728414,0.01607959158719,-9.65659523010254,-0.04400525242090,0.25231301784515,0.09552828222513
50,2974439712,179.88088989257812,-0.12365318834782,-136.13690185546875,0.05039177834988,-0.00024319665681,-9.64692497253418,0.06517542153597,0.16655655205250,0.14253041148186
51,2974448045,179.88003540039062,-0.12211138755083,-136.13591003417969,0.05336736142635,0.00486393319443,-9.64847660064697,0.17874893546104,0.21909135580063,0.20144315063953
52,2974456378,179.87791442871094,-0.11692747473717,-136.13543701171875,0.05999089404941,-0.01148031279445,-9.63933563232422,0.09988272190094,0.17442014813423,0.17693033814430
53,2974464711,179.87609863281250,-0.11563395708799,-136.12184143066406,0.04406145215034,-0.00005050971959,-9.65292453765869,0.03162077069283,0.24321997165680,0.16806779801846
54,2974473044,179.87312316894531,-0.11107915639877,-136.12068176269531,0.04018467292190,0.01883343607187,-9.63794803619385,0.00008964980952,0.24908560514450,0.09209597855806
55,2974481377,179.87170410156250,-0.10925221443176,-136.12242126464844,0.06527668982744,0.02648656629026,-9.63349819183350,0.06258837878704,0.17595699429512,0.10928312689066
56,2974489710,179.86981201171875,-0.10468433052301,-136.12236022949219,0.07476151734591,0.01570049114525,-9.62274837493896,0.12808397412300,0.24731823801994,0.22949072718620
57,2974498043,179.86813354492188,-0.10358391702175,-136.12477111816406,0.06342425942421,0.01114412955940,-9.64512920379639,0.04570859670639,0.25817868113518,0.10782311856747
58,2974506376,179.86697387695312,-0.09859942644835,-136.12451171875000,0.04517020285130,-0.00962772686034,-9.65442085266113,0.21719589829445,0.19780591130257,0.20364595949650
59,2974514709,179.86738586425781,-0.09658224135637,-136.14202880859375,0.03694467619061,-0.00057928625029,-9.66619586944580,0.30758854746819,0.12075831741095,0.14570657908916
60,2974523042,179.86480712890625,-0.09123289585114,-136.14147949218750,0.04160075634718,-0.01806863956153,-9.65051460266113,0.04816756770015,0.15438981354237,0.16806781291962
61,2974531375,179.86470031738281,-0.08964114636183,-136.14323425292969,0.05467613413930,0.01065756287426,-9.63291263580322,0.20841021835804,0.18289843201637,0.17741698026657
62,2974539708,179.86337280273438,-0.08419536799192,-136.14222717285156,0.04323893412948,0.01348310895264,-9.63881397247314,0.19611538946629,0.14160828292370,0.11169087141752
63,2974548041,179.86230468750000,-0.08271250873804,-136.14791870117188,0.06353171169758,0.01515727024525,-9.64008712768555,0.07726535201073,0.19806209206581,0.18640761077404
64,2974556374,179.86042785644531,-0.07799971103668,-136.14730834960938,0.05961179360747,-0.00035048931022,-9.65584468841553,0.12956960499287,0.22913214564323,0.15833441913128
