sep=,
DeviceTag:,zdt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_829 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
75,3344677910,0.413012,-0.431769,-0.561109,-0.572852,0.004737,0.019058,-0.042232,0
77,3344711244,0.413006,-0.431820,-0.561050,-0.572876,0.028054,0.017913,-0.053511,0
79,3344744578,0.412954,-0.431944,-0.560950,-0.572919,0.009959,0.025204,-0.062390,0
80,3344761245,0.412886,-0.432061,-0.560889,-0.572938,0.020740,0.020684,-0.054146,0
82,3344794579,0.412697,-0.432375,-0.560764,-0.572961,0.036450,0.033347,-0.054356,0
84,3344827913,0.412476,-0.432761,-0.560621,-0.572968,0.024573,0.023032,-0.063116,0
86,3344861247,0.412302,-0.433053,-0.560509,-0.572982,-0.020203,0.024281,-0.052684,0
88,3344894581,0.412179,-0.433275,-0.560474,-0.572937,-0.024370,0.055704,-0.059541,0
89,3344911248,0.412132,-0.433367,-0.560519,-0.572858,-0.026637,0.038275,-0.057089,0
91,3344944582,0.412456,-0.433041,-0.560949,-0.572450,-0.255412,0.091219,0.017756,0
93,3344977916,0.413381,-0.432051,-0.561782,-0.571713,-0.025715,-0.019256,-0.080186,0
95,3345011250,0.413822,-0.431224,-0.562628,-0.571186,-0.045064,0.096801,-0.079744,0
97,3345044584,0.414143,-0.430525,-0.563294,-0.570825,-0.071762,0.076076,-0.045504,0
98,3345061251,0.414157,-0.430257,-0.563569,-0.570745,-0.037051,-0.007003,-0.070095,0
100,3345094585,0.413917,-0.429796,-0.564114,-0.570728,-0.048677,-0.040584,-0.064066,0
102,3345127919,0.413578,-0.429296,-0.564793,-0.570678,0.103700,0.008338,-0.058570,0
104,3345161253,0.412985,-0.429084,-0.565291,-0.570775,0.123839,0.041732,-0.079433,0
106,3345194587,0.412308,-0.429117,-0.565574,-0.570959,0.167576,0.006263,-0.043553,0
109,3345244588,0.410967,-0.429687,-0.565698,-0.571374,0.149320,0.008716,-0.061525,0
111,3345277922,0.410006,-0.430358,-0.565528,-0.571728,0.090989,0.030613,-0.032049,0
113,3345311256,0.409284,-0.430968,-0.565302,-0.572008,0.015851,-0.033320,-0.030686,0
115,3345344590,0.409121,-0.431231,-0.565156,-0.572071,0.152943,-0.002573,-0.074794,0
