sep=,
DeviceTag:,ydt
FirmwareVersion:,2.0.0
AppVersion:,2021.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Quaternion)
StartTime: ,2021-08-20_20:21:13_839 GMT+8
© Xsens Technologies B. V. 2005-2021

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
171,3346277942,0.590502,-0.639668,0.276695,0.406896,-0.435085,-0.006064,2.010269,0
172,3346294609,0.585559,-0.634635,0.284305,0.416561,-0.680744,0.337904,1.666980,0
173,3346311276,0.579976,-0.629491,0.292342,0.426496,-0.938092,0.724722,0.976029,0
174,3346327943,0.573177,-0.624705,0.300526,0.436908,-0.878494,0.262263,0.086809,0
175,3346344610,0.564682,-0.620542,0.308288,0.448344,-0.780636,0.028950,-0.698155,0
176,3346361277,0.555484,-0.615788,0.316092,0.460784,-0.727103,0.064699,-1.040217,0
177,3346377944,0.546314,-0.609823,0.324335,0.473769,-0.438389,-0.046508,-1.328816,0
178,3346394611,0.537280,-0.602788,0.332815,0.487037,-0.371165,-0.449636,-1.039620,0
179,3346411278,0.529144,-0.595044,0.341406,0.499365,-0.358060,-0.294160,-1.364502,0
180,3346427945,0.520045,-0.587631,0.350037,0.511577,-0.324267,0.233124,-1.350660,0
181,3346444612,0.510852,-0.579376,0.359628,0.523465,0.046995,0.119357,-1.055862,0
182,3346461279,0.503306,-0.568541,0.370119,0.535210,-0.290607,-0.133120,-2.004547,0
183,3346477946,0.495158,-0.558016,0.381191,0.546006,-0.409288,-0.406211,-2.030114,0
184,3346494613,0.488265,-0.548334,0.391526,0.554642,0.168036,0.041820,-2.322863,0
185,3346511280,0.482325,-0.540902,0.400302,0.560837,0.559120,-0.804155,-2.058306,0
186,3346527947,0.476064,-0.534774,0.408409,0.566193,1.433477,-0.939861,-1.415542,0
187,3346544614,0.471245,-0.529539,0.415623,0.569884,1.926889,0.105288,-1.104457,0
188,3346561281,0.467953,-0.526180,0.421107,0.571679,1.650654,-0.040439,-0.475669,0
189,3346577948,0.464962,-0.523744,0.425522,0.573086,1.358605,-0.691725,-0.539990,0
190,3346594615,0.462035,-0.521557,0.429289,0.574636,0.811721,-0.874940,0.110981,0
191,3346611282,0.460395,-0.519653,0.432724,0.575100,0.391645,-0.631874,0.000466,0
192,3346627949,0.459521,-0.517578,0.436622,0.574724,-0.203899,-0.264778,0.641251,0
193,3346644616,0.459792,-0.515055,0.440790,0.573592,-0.590769,0.072468,0.414428,0
194,3346661283,0.460562,-0.512583,0.444859,0.572045,-0.524250,0.413078,0.216621,0
195,3346677950,0.461418,-0.510609,0.447733,0.570877,-0.541139,0.707884,0.276801,0
196,3346694617,0.462106,-0.508989,0.449557,0.570333,-0.662315,0.570873,0.089858,0
197,3346711284,0.462439,-0.508004,0.450736,0.570011,-0.662132,0.466844,0.155276,0
198,3346727951,0.462618,-0.507589,0.451845,0.569357,-0.261077,0.285924,-0.419380,0
199,3346744618,0.462758,-0.507591,0.452372,0.568823,-0.103625,0.125603,-0.168502,0
200,3346761285,0.462600,-0.508188,0.451987,0.568724,0.113205,0.031714,-0.102742,0
201,3346777952,0.462182,-0.509458,0.450964,0.568739,0.091213,-0.101204,-0.181019,0
202,3346794619,0.461874,-0.510800,0.449167,0.569208,-0.232783,-0.388415,-0.166978,0
203,3346811286,0.461497,-0.512597,0.446891,0.569690,-0.475045,-0.436336,0.074791,0
204,3346827953,0.460922,-0.514904,0.444391,0.570030,-0.739366,-0.302175,0.000321,0
205,3346844620,0.460594,-0.517133,0.441566,0.570473,-0.889180,-0.340087,-0.101987,0
206,3346861287,0.460259,-0.519570,0.438398,0.570972,-0.911375,-0.319454,-0.077054,0
207,3346877954,0.460259,-0.522095,0.435314,0.571028,-0.684869,-0.268184,-0.105497,0
208,3346894621,0.461116,-0.524395,0.432613,0.570282,-0.754752,-0.066837,-0.154926,0
